LFQi 1_ATL2: Significant Class A	LFQi 1_ATL2: Significant Class B	LFQi 1_ATL2: -Log(P-value)	LFQi 1_ATL2: Difference	LFQi 1_ATL3: Significant Class A	LFQi 1_ATL3: Significant Class B	LFQi 1_ATL3: -Log(P-value)	LFQi 1_ATL3: Difference	LFQi 1_ATP2B1: Significant Class A	LFQi 1_ATP2B1: Significant Class B	LFQi 1_ATP2B1: -Log(P-value)	LFQi 1_ATP2B1: Difference	LFQi 1_CLTA: Significant Class A	LFQi 1_CLTA: Significant Class B	LFQi 1_CLTA: -Log(P-value)	LFQi 1_CLTA: Difference	LFQi 1_LAMP1: Significant Class A	LFQi 1_LAMP1: Significant Class B	LFQi 1_LAMP1: -Log(P-value)	LFQi 1_LAMP1: Difference	LFQi 1_LMAN1: Significant Class A	LFQi 1_LMAN1: Significant Class B	LFQi 1_LMAN1: -Log(P-value)	LFQi 1_LMAN1: Difference	LFQi 1_MTOR: Significant Class A	LFQi 1_MTOR: Significant Class B	LFQi 1_MTOR: -Log(P-value)	LFQi 1_MTOR: Difference	LFQi 1_OSBPL8: Significant Class A	LFQi 1_OSBPL8: Significant Class B	LFQi 1_OSBPL8: -Log(P-value)	LFQi 1_OSBPL8: Difference	LFQi 1_POLR1C: Significant Class A	LFQi 1_POLR1C: Significant Class B	LFQi 1_POLR1C: -Log(P-value)	LFQi 1_POLR1C: Difference	LFQi 1_RAB14: Significant Class A	LFQi 1_RAB14: Significant Class B	LFQi 1_RAB14: -Log(P-value)	LFQi 1_RAB14: Difference	LFQi 1_SEC13: Significant Class A	LFQi 1_SEC13: Significant Class B	LFQi 1_SEC13: -Log(P-value)	LFQi 1_SEC13: Difference	LFQi 1_SEC24D: Significant Class A	LFQi 1_SEC24D: Significant Class B	LFQi 1_SEC24D: -Log(P-value)	LFQi 1_SEC24D: Difference	LFQi 1_SPTLC1: Significant Class A	LFQi 1_SPTLC1: Significant Class B	LFQi 1_SPTLC1: -Log(P-value)	LFQi 1_SPTLC1: Difference	LFQi 1_TAF12: Significant Class A	LFQi 1_TAF12: Significant Class B	LFQi 1_TAF12: -Log(P-value)	LFQi 1_TAF12: Difference	LFQi 1_VAPA: Significant Class A	LFQi 1_VAPA: Significant Class B	LFQi 1_VAPA: -Log(P-value)	LFQi 1_VAPA: Difference	LFQi 1_ATL2: Profile correlation	LFQi 1_ATL3: Profile correlation	LFQi 1_ATP2B1: Profile correlation	LFQi 1_CLTA: Profile correlation	LFQi 1_LAMP1: Profile correlation	LFQi 1_LMAN1: Profile correlation	LFQi 1_MTOR: Profile correlation	LFQi 1_OSBPL8: Profile correlation	LFQi 1_POLR1C: Profile correlation	LFQi 1_RAB14: Profile correlation	LFQi 1_SEC13: Profile correlation	LFQi 1_SEC24D: Profile correlation	LFQi 1_SPTLC1: Profile correlation	LFQi 1_TAF12: Profile correlation	LFQi 1_VAPA: Profile correlation	Protein IDs	Majority protein IDs	Protein names	Gene names	Symbol color	Symbol type	Symbol size	Show label	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	LFQi 1_ATL2_01	LFQi 1_ATL2_02	LFQi 1_ATL2_03	LFQi 1_ATL3_01	LFQi 1_ATL3_02	LFQi 1_ATL3_03	LFQi 1_ATP2B1_01	LFQi 1_ATP2B1_02	LFQi 1_ATP2B1_03	LFQi 1_CLTA_01	LFQi 1_CLTA_02	LFQi 1_CLTA_03	LFQi 1_LAMP1_01	LFQi 1_LAMP1_02	LFQi 1_LAMP1_03	LFQi 1_LMAN1_01	LFQi 1_LMAN1_02	LFQi 1_LMAN1_03	LFQi 1_MTOR_01	LFQi 1_MTOR_02	LFQi 1_MTOR_03	LFQi 1_OSBPL8_01	LFQi 1_OSBPL8_02	LFQi 1_OSBPL8_03	LFQi 1_POLR1C_01	LFQi 1_POLR1C_02	LFQi 1_POLR1C_03	LFQi 1_RAB14_01	LFQi 1_RAB14_02	LFQi 1_SEC13_01	LFQi 1_SEC13_02	LFQi 1_SEC13_03	LFQi 1_SEC24D_01	LFQi 1_SEC24D_02	LFQi 1_SEC24D_03	LFQi 1_SPTLC1_01	LFQi 1_SPTLC1_02	LFQi 1_SPTLC1_03	LFQi 1_TAF12_01	LFQi 1_TAF12_02	LFQi 1_TAF12_03	LFQi 1_VAPA_01	LFQi 1_VAPA_02	LFQi 1_VAPA_03
		0.236043413	-0.188645844			0.2986506	-0.231706147			0.325815365	-0.245127197			0.757811645	-0.458612406			0.013792347	-0.013412421			0.02296111	-0.022105099			0.290030484	0.223319299			0.001838746	0.001812363			0.847617386	-0.494990085			0.633682478	-0.528765654	+	+	11.54989873	1.762113099			0.118958642	-0.104308301			0.026338851	0.025264577			0.052855835	-0.049318641			1.545732929	-0.771144395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A024QZ42;O75340;O75340-2	A0A024QZ42;O75340;O75340-2	Programmed cell death protein 6	PDCD6	Color2 [Red]	1	5					4	4	3	49.6	49.6	46.3	14.45	0	53.049	15935000	60	18.73809814	19.26320457	18.72310829	19.25923347	18.99595451	18.34004211	18.916399	19.06726074	18.58468437	18.7701416	18.81903076	18.38927841	19.24390793	18.94569588	19.01900482	19.29840279	19.18691254	18.69927406	19.42977905	19.37854385	19.05441284	19.21335602	19.19806099	18.8392601	18.24237442	18.86390114	18.77165794	18.63222122	18.32685089	20.63582039	20.8669529	20.6118927	19.06684113	18.93350029	18.95710754	19.30903625	19.17094231	18.83550072	19.12479782	19.00590897	18.97868729	18.5435524	18.41278458	18.02057838
		0.745687662	1.066339284			0.427895027	0.694638043			0.071803189	0.154600734			0.268110994	-0.492597535			0.744365193	1.065032241			0.566971516	0.878220086			0.606663938	-0.922160984			0.885342896	-1.198334876			0.129186709	0.263973645			0.146275714	0.35528875			0.155419475	-0.310654259			1.58610604	-1.731310681			0.754686483	1.075202806			0.010876413	-0.024948656			0.490005619	0.771851649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A024R4E5;Q00341;Q00341-2;H0Y394;H7C0A4;C9JIZ1;C9J5E5;H7BZC3;C9JHZ8;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;A0A0E3D6N3;C9JEJ8;C9JBS3;C9JQ82;H7C2D1;C9JMQ6;H7C3D0	A0A024R4E5;Q00341;Q00341-2;H0Y394	Vigilin	HDLBP	Color2 [Red]	1	5					21	21	21	29.1	29.1	29.1	141.44	0	323.31	54779000	272	15.04058933	14.04925251	13.37000656	14.02375412	13.61838531	13.70260525	12.40824699	12.99954224	14.5327816	10.77579021	13.13485909	14.24161053	13.81488323	14.46307755	14.17827606	14.37598991	14.45082474	13.11323071	14.17959785	11.331357	11.45435333	14.03505707	11.07127094	11.09586811	11.21878433	14.72930241	14.29469872	13.74703884	13.08329678	13.1004982	13.84235001	11.71214962	11.56998253	10.58525372	12.57426357	14.03411102	14.38329887	14.06692982	13.92025948	13.97163296	11.55255508	14.19329453	13.58918285	13.79390812
		0.189417656	-0.60821416			0.605687052	-1.551822444			0.011582301	0.043816058			0.129961242	-0.438012868			0.093112344	-0.324296724			0.158407309	-0.521321206			0.496487532	-1.31490236			0.070498444	-0.250851086			0.775083747	-1.807480649	+	+	9.624223526	7.011672851			0.276355809	-0.833354723			0.49605916	1.314059748			0.570616499	1.4562699			0.574741522	-1.463890012			0.273892769	0.83219995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P46379-3;P46379;P46379-2;A0A0G2JK23;A0A024RCR6;P46379-5;P46379-4;A0A0G2JL47;F6S6P2;A0A0G2JJM1;X6REW1;F6TC96;F6U341;H0Y4L1;F6VEM6;F6X9W3;A0A0G2JJR8;H0Y710;F6XTU0;F6U1F2;F6UR09;F6WML8	P46379-3;P46379;P46379-2;A0A0G2JK23;A0A024RCR6;P46379-5;P46379-4;A0A0G2JL47	Large proline-rich protein BAG6	BAG6;BAT3	Color2 [Red]	1	5					5	5	5	8.1	8.1	8.1	122.34	0	9.7428	1528700	14	11.20811272	10.83527946	12.26239014	9.146393776	11.11685658	11.21170712	11.64245987	12.70684624	11.75813866	13.56355381	11.37077713	9.841744423	12.02081585	11.30421352	11.76526165	10.98691463	10.79353905	12.76542759	9.233977318	12.15826416	10.96084976	11.47073364	11.19712448	12.62537479	9.756966591	10.37768555	10.85736752	17.73184967	19.37903214	11.3068924	12.12709713	10.24969387	12.33027267	12.97697544	14.31008053	17.74432182	12.32051849	9.945437431	10.39047432	10.72299194	10.82794857	11.68159008	13.22904396	13.71639061
		0.42897914	0.935921333			0.076342867	-0.223294276			0.27763498	0.664535559			0.481850038	1.021589388			0.177276157	-0.456524095			2.209947653	-2.743457667			0.346175363	0.792791385			0.352934938	-0.804929079			0.25986647	0.629608499			0.353352137	-1.01085274			0.266645319	0.643021302			0.635918212	-1.250525284			0.611503691	1.216067777			0.058291876	0.166769482			0.732285973	1.388790748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A075B736;Q5SQY0;Q3ZCM7	A0A075B736;Q5SQY0;Q3ZCM7	Tubulin beta-8 chain	TUBB8	Color2 [Red]	1	5					2	1	1	10.8	7.9	7.9	45.696	0	302.97	48625000	83	17.34948921	16.08308411	15.25631905	17.19364166	15.85006428	12.1675396	14.91569233	15.94191837	17.08139992	17.08087921	16.37865067	15.46607685	16.7923336	12.88229942	15.16671276	14.81863213	10.76869678	12.93485832	16.92218971	16.26407623	15.10713577	17.09248924	15.59087944	11.19527912	16.94420815	16.15582657	14.74246693	16.69520187	11.78838348	16.59540367	15.97938061	15.30477905	15.50754738	12.66595173	14.47389603	18.03122711	15.47170734	15.96004677	16.36835289	15.90970516	14.2855463	17.17289543	16.77275276	16.10185242
		0.01037007	-0.019199617			0.386690129	-0.564654913			1.471380399	1.335299819			0.768014821	0.877861196			0.373800415	0.517925798			0.18633255	-0.293121129			0.418090413	0.564614859			2.151172228	-1.662956483			0.269202067	-0.398689915			0.669724117	-1.41524074			0.228805722	0.348638435			0.247588543	-0.372222909			0.091782902	0.156428301			0.128580828	-0.212055161			0.057466253	-0.102821913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Q2L696;V9HW75;A0A087WSV8;P80303-2;P80303;H0YEG8;E9PKG6;E9PJP3;E9PM22;E9PLR0;E9PLE9	Q2L696;V9HW75;A0A087WSV8;P80303-2;P80303;H0YEG8;E9PKG6	Nucleobindin-2;Nesfatin-1	Nucb2;HEL-S-109;NUCB2	Color2 [Red]	1	5					3	3	3	12.8	12.8	12.8	46.629	0	4.9867	327490	4	11.95410824	12.01199818	10.90947151	9.298492432	12.42311859	11.51760101	12.97313023	14.13931179	11.50583172	10.69686604	13.15571976	13.5017128	10.99009514	12.67753983	12.69210529	11.03098774	10.96617985	12.12152195	12.44540405	12.00135517	12.04199028	9.508259773	9.61604023	11.20931816	11.23336411	11.79687595	10.79674625	10.34982872	10.60789967	11.50980377	10.64947128	13.73269749	11.66319275	10.5835247	11.65340137	11.64650154	11.14815426	12.56620979	11.07741356	12.30501652	10.96025753	12.70931911	11.01982594	10.89556599
		0.318565799	0.392123068			0.003331343	-0.005317842			0.012387973	-0.019649487			0.421211945	-0.487571026			1.079842992	-0.945533916			1.625008318	-1.216526922			0.093863678	0.137098966			0.278557813	-0.351992725			0.461614617	0.522595033			0.782988607	0.940269372			1.779030783	1.282579985			0.172973146	-0.236111523			0.319341473	0.39288341			0.072402937	-0.107918167			0.927371851	0.873870695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	E2QRB9;E9PIR7;F8W809;A0A087WSW9;E9PNQ6;A0A087WSY9;Q16881-7;Q16881-5;Q16881-2;Q16881-4;Q16881-3;Q16881-6;Q16881;E9PKD3	E2QRB9;E9PIR7;F8W809;A0A087WSW9;E9PNQ6;A0A087WSY9;Q16881-7;Q16881-5;Q16881-2;Q16881-4;Q16881-3;Q16881-6;Q16881	"Thioredoxin reductase 1, cytoplasmic"	TXNRD1	Color2 [Red]	1	5					3	3	3	16.5	16.5	16.5	50.723	0	6.286	2802800	36	16.22771072	15.3040657	15.93228436	16.07522774	15.095191	15.10131931	14.92870331	16.25000191	15.14756298	14.88821983	15.65544701	14.48966026	15.15833378	12.5545845	16.05498505	15.21466064	14.68617249	13.11827374	15.20468616	15.27757835	16.2771244	15.89128494	14.64610863	14.87055779	16.09180641	16.2610302	15.47173882	16.50813484	16.17519951	16.61079407	16.67383385	16.63990593	15.14322376	15.59988403	14.98504162	16.50578117	15.44511223	15.51526833	15.67179012	16.17568588	14.23489189	16.29904747	16.44701958	16.16323662
		0.501693387	-1.348435202			0.657086533	-1.657971182			0.119526715	-0.413664128			0.009988103	0.038518715	+	+	11.93061446	7.013872882			0.192932794	0.628696178			0.322420774	-0.959960583			0.324982034	-0.966016742			0.350006107	-1.024316288			0.35616074	-1.240661254			0.095820507	-0.338754409			0.073072749	-0.263928214			0.242682543	-0.76227447			0.176951543	-0.583843676			0.305721375	-0.91584281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Q5VVW5;A0A087WT42;Q9NY64	Q5VVW5;A0A087WT42;Q9NY64	"Solute carrier family 2, facilitated glucose transporter member 8"	SLC2A8	Color2 [Red]	1	5					1	1	1	5.6	5.6	5.6	22.991	0	12.369	1690200	5	10.88283253	11.31769753	10.97923279	10.01107883	11.74772167	10.49235439	12.50948906	11.49100113	11.76219273	12.69409847	11.19763851	13.12039852	15.3067379	20.42705917	20.55234337	12.36002064	12.0352087	14.24765968	11.0541296	10.65953636	12.53951359	11.97925186	10.56629944	11.69089413	11.2061758	10.86820507	12.0009737	11.58472729	10.20094585	12.24178982	10.49273777	13.23514271	11.4482193	12.43046379	12.2977438	11.95809269	10.78960037	12.05172443	11.85194397	11.44718647	11.99331951	12.28212833	11.44369411	10.75171757
		0.096492531	0.045689301			0.677168069	-0.237263961			1.358072394	0.354868516		+	5.750546054	-0.743030566			0.138306776	0.063119525			0.655097921	0.219243277			0.799282701	0.251734688			0.256199743	0.106827963			0.297531491	-0.12064367			0.047122186	0.044450369			0.185754556	-0.081573214			0.054359803	0.02680259			0.051953924	-0.025678598			0.110310474	-0.051582682			1.650166319	-0.427341425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A087WTP3;Q92945;M0R3J3;M0R0I5;M0QYG1;M0QXW7;M0QYH3;M0R0C6	A0A087WTP3;Q92945	Far upstream element-binding protein 2	KHSRP	Color2 [Red]	1	5					6	6	6	17.2	17.2	17.2	73.027	0	159.39	36746000	290	19.29849243	19.38351059	19.15642357	19.20222855	19.20335197	18.58398628	19.89612198	19.63427925	19.16233635	18.58648109	18.62274551	18.44984245	19.36326599	19.38578606	19.137537	19.52045059	19.66930771	19.12822533	19.60707664	19.52376556	19.27692032	19.35479164	19.49802399	19.15454674	18.95996857	19.34269142	19.07616234	19.18509865	19.16319847	19.21837807	19.34583473	18.92256737	19.42039108	19.18696022	19.17888832	18.91187096	19.58286667	19.14648819	19.20824432	19.2787571	19.08264732	18.77978897	18.79335022	18.84619522
		0.274871714	-0.398676981			0.035869591	0.062244942			0.1463401	0.233726892			0.211980151	-0.321504529			0.49289281	0.628408496			1.957503873	1.550964401			0.389480127	-0.525666146			0.162862199	-0.256609027			1.063864099	-1.072253554			0.495831582	0.922574435			0.51078091	0.645235416			0.270053873	-0.39297459			0.393373241	-0.529718081			0.245129556	-0.362938154			0.410663138	-0.559411158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	E5RFS7;E5RGE3;E5RID3;A0A0B4J212;F8W7P5;H0YC32;A0A087WTS3;A1XBS5-2;A1XBS5-4;A1XBS5-3;A1XBS5	E5RFS7;E5RGE3;E5RID3;A0A0B4J212;F8W7P5;H0YC32;A0A087WTS3;A1XBS5-2;A1XBS5-4;A1XBS5-3;A1XBS5	Protein FAM92A1	FAM92A1	Color2 [Red]	1	5					1	1	1	23.1	23.1	23.1	7.6847	0.0041133	2.2983	79950	1	10.78131199	12.33086491	10.90830421	11.54778957	11.58299065	12.27246666	11.53652859	10.58309555	13.64828873	10.89790916	12.50522041	10.8305912	11.55413246	13.8486433	11.45570469	14.03587055	12.43002415	12.94175339	11.29336548	11.88704014	10.48918438	10.00084972	11.59684372	12.81534386	10.04650688	11.58713913	10.52563667	13.09616756	12.53462696	13.18313122	12.28789997	11.4339447	10.38332844	11.5189476	12.13396168	11.00094604	11.0416832	11.61576462	11.6623497	10.8982687	11.55861473	11.34112549	12.27517223	9.921980858
		0.511481914	-0.321174531			0.145876887	0.117289952			0.53710907	0.332937568		+	3.04159983	0.976076998			0.052021156	-0.045044472			0.038234089	0.033578945			0.079817574	-0.067254875			0.105333851	-0.086682765			0.104402173	0.085988344			0.005853169	0.005150208			0.404927973	-0.269342205			0.105268049	0.086633755			2.168704219	-0.81661644			0.180751037	0.139612634			0.518743442	-0.323781241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A087WTT1;E7EQV3;P11940-2;P11940;E7ERJ7;H0YAR2;Q9H361;H0YAP2;H0YAS6;H0YBN4;H0YB75;H0YAS7;H0YB86;H0YC10	A0A087WTT1;E7EQV3;P11940-2;P11940;E7ERJ7;H0YAR2;Q9H361	Polyadenylate-binding protein;Polyadenylate-binding protein 1;Polyadenylate-binding protein 3	PABPC1;PABPC3	Color2 [Red]	1	5					12	12	8	36	36	23.2	58.535	0	323.31	294070000	856	18.62231636	19.51348877	18.91826439	19.13081741	19.01170731	20.22693825	19.73946762	19.32877922	19.79323769	19.61095619	20.53876877	20.48885536	19.00055504	19.61647797	19.20002747	18.83654976	19.55857849	19.63918114	19.2882309	18.99366188	19.47379684	18.5637989	19.42131615	19.71689224	19.1076622	19.27182388	19.79963875	18.85303497	19.64004707	19.0340786	19.15565872	19.0075531	19.50753975	19.43782616	19.2355423	17.68133545	19.247715	18.75603485	18.94128799	19.4679203	19.91808891	18.52474022	19.27660179	19.24490738
